Symbol	Characters	Phonemes	Example	Status	Notes
‹ अ ›	905	/ə/	अकमक्क ‘confused’	expected	Possibly the vowel is closer to [ʌ].
‹ अ ›	905	/a/	अगाडि ‘before’	expected	
‹ अ ›	905	/ʌ/	अकमक्क ‘confused’	expected	
‹ आ ›	906	/a/	आज ‘today’	expected	
‹ आ ›	906	/ɑ/	आज ‘today’	expected	
‹ आ ›	906	/æ/	at	expected	
‹ आइ ›	0906 | 0907	/ai/	भाइ ‘younger brother’	expected	/ai/ can be represented by ‹आई›, ‹आी›, ‹ˌाˌी›, or ‹ˌाई›.
‹ आइ ›	0906 | 0907	/aɪ/	भाइ ‘younger brother’	expected	/aɪ/ can be represented by ‹आई›, ‹आी›, ‹ˌाˌी›, or ‹ˌाई›.
‹ आउ ›	0906 | 0909	/au/	आउनु ‘to come	expected	/au/ can be represented by ‹आउ›, ‹आु›, ‹ˌाˌु›, or ‹ˌाउ›.
‹ आउ ›	0906 | 0909	/aʊ/	आउनु ‘to come	expected	/aʊ/ can be represented by ‹आउ›, ‹आु›, ‹ˌाˌु›, or ‹ˌाउ›.
‹ इ ›	907	/ɪ/	इनार ‘well’	expected	
‹ इँ ›	0907 | 0901	/ĩ/	भुइँ ‘ground’	expected	
‹ ई ›	908	/i/	गाई ‘cow’	expected	
‹ ईं ›	0908 | 0902	/ĩ/	तपाईं ‘you’	expected	
‹ ईउ ›	0908 | 0909	/iu/	जीउ ‘body’	expected	/iu/ can be represented by ‹ईउ›, ‹ईˌु›, ‹ˌीˌु›, or ‹ीउ›.
‹ उ ›	909	/u/	उड्नु ‘to fly’	expected	
‹ उँ ›	0909 | 0901	/ũ/	गाउँले ‘rural’	expected	
‹ उई ›	0909 | 0908	/ui/	दुई ‘two’	expected	/ui/ can be represented by ‹उई›, ‹उी›, ‹ˌुˌी›, or ‹ˌुई›.
#‹ ऊ ›	090A	/u/	ऊन ‘wool’	expected	
‹ ऊँ ›	0901 | 090A	/ũ/	ऊँट ‘camel’	uncommon	
‹ ए ›	090F	/e/	एक ‘one’	expected	
‹ ए ›	090F	/ɛ/	एक ‘one’	expected	
‹ ए ›	090F	/eɪ/	एक ‘one’	expected	
‹ ए ›	090F	/ei/		expected	‹ एँ ›	0901 | 090F	/ẽ/	खाएँ ‘ate’	expected	
‹ एउ ›	0909 | 090F	/eu/	एउटा ‘one (thing)’	expected	/eu/ can be represented by ‹एउ›, ‹एु›, ‹ˌेˌु›, or ‹ˌेउ›.
‹ ऐ ›	910	/ʌi/	ऐना ‘mirror’	expected	
‹ ओ ›	913	/o/	ओरालो ‘downhill slope’	expected	
‹ ओ ›	913	/ɔ/	ओरालो ‘downhill slope’	expected	
‹ ओइ ›	0913 | 0907	/oi/	होइन ‘no’	expected	/oi/ can be represented by ‹ओई›, ‹ओी›, ‹ˌोˌी›, or ‹ˌोई›.
‹ ओइ ›	0913 | 0907	/ɔɪ/	होइन ‘no’	expected	/oi/ can be represented by ‹ओई›, ‹ओी›, ‹ˌोˌी›, or ‹ˌोई›.
‹ ओऊ ›	0913 | 090A	/ou/	धोऊ ‘wash’	expected	/ou/ can be represented by ‹ओऊ›, ‹ओˌू›, ‹ˌोˌू›, or ‹ˌोऊ›.
‹ ओऊ ›	0913 | 090A	/oʊ/	धोऊ ‘wash’	expected	/ou/ can be represented by ‹ओऊ›, ‹ओˌू›, ‹ˌोˌू›, or ‹ˌोऊ›.
‹ औ ›	914	/ʌu/	औधी ‘exceedingly’	expected	
‹ क ›	915	/k/	केटी ‘girl’	expected	
‹ ख ›	916	/kʰ/	खेल्नु ‘to play’	expected	
‹ ग ›	917	/g/	गरम ‘warm’	expected	
‹ ग ›	917	/ɡ/	गरम ‘warm’	expected	
‹ घ ›	918	/gʰ/	घाट ‘riverbank’	expected	
‹ ङ ›	919	/ŋ/	नङ ‘nail’	expected	Word-final and onomatopoeic only
